"Import of Images", "Импорт Изображений"
"Check & Go", "Проверка и вперёд"
"Product with sku %s does not exist anymore", "Товар с СКЮ %s больше не существует"
"Images were successfully added to queue!", "Картинки были успешно добавлены в очередь!"
"Image Import", "Импорт Картинок"
"Created at", "Создано"
"Loading at", "Грузится"
"Image URL", "URL Картинки"
"Image Size", "Размер Картинки"
"Loading Status", "Статус Загрузки"
"Error Message", "Сообщение об ошибке"
"File columns do not contain any information.", "Столбцы файла не содержат никакой информации"
" is a required column.", " является объязательным столбцом"
" is not a valid column name.", " не правильное имя столбца"
"Column name error(s):", "Ошибка(и) связанные с именем столбца(ов)"
"You have errors(s) in row %s:%s", "У Вас ошибка в строке(ах) %s:%s"
"Product with sku \"%s\" doesn't exist.%s", "Товар с СКЮ \"%s\" не существует.%s"
" is not a valid URL.%s", " не является правильным URL.%s"
"Import Settings", "Настройки Импорта"
"Select File to Import", "Выберите Файл для Импорта"
"Add to Queue", "Добавить в Очередь"
